# x_coordinates, y_coordinates, TEP, TED, times, high, low
2.732778655629633136e+01,2.023409364702296820e+00,1.263273071289062500e+03,8.188904076814651489e-02,4.537260000000000737e+00,6.430459618568420410e-01,3.840270340442657471e-01
2.732752286476925363e+01,2.019006622635552972e+00,1.154531005859375000e+03,7.294721007347106934e-01,4.537270000000000358e+00,7.559614181518554688e-01,4.375855922698974609e-01
2.733111119062211003e+01,2.010255147103598539e+00,1.498151245117187500e+03,7.535178065299987793e-01,4.537279999999999980e+00,9.454763531684875488e-01,5.947517156600952148e-01
2.734226849658427483e+01,2.005211224157829264e+00,1.362706787109375000e+03,7.425040602684020996e-01,4.537290000000000489e+00,9.386861324310302734e-01,5.743048787117004395e-01
2.733799319001047934e+01,2.008279535663802129e+00,1.686197021484375000e+03,1.056855440139770508e+00,4.537300000000000111e+00,9.617270231246948242e-01,6.241250038146972656e-01
2.734125928802598438e+01,2.006773613437093484e+00,1.286983764648437500e+03,1.077140092849731445e+00,4.537310000000000620e+00,9.253346323966979980e-01,5.559942722320556641e-01
2.734383455860350409e+01,2.008456249409927175e+00,1.612295776367187500e+03,1.232656955718994141e+00,4.537320000000000242e+00,9.396779537200927734e-01,6.029152274131774902e-01
2.734394274184755602e+01,2.018753898925456092e+00,1.548841796875000000e+03,1.051080942153930664e+00,4.537330000000000751e+00,1.175427198410034180e+00,7.461957931518554688e-01
2.733880287781416740e+01,2.024244363515849354e+00,1.087345336914062500e+03,1.323744773864746094e+00,4.537340000000000373e+00,8.132584095001220703e-01,4.603212773799896240e-01
2.735052455093187618e+01,2.033892870543470899e+00,1.374007202148437500e+03,1.532181024551391602e+00,4.537349999999999994e+00,8.356888890266418457e-01,5.125828385353088379e-01
2.734757307860402520e+01,2.038091752192965345e+00,1.213576171875000000e+03,9.403330683708190918e-01,4.537360000000000504e+00,8.465989828109741211e-01,4.987735748291015625e-01
2.734379777262503808e+01,2.049749139945268972e+00,1.319267700195312500e+03,9.151262640953063965e-01,4.537370000000000125e+00,8.681139945983886719e-01,5.257817506790161133e-01
2.734775444864286342e+01,2.065203615078180732e+00,1.176165771484375000e+03,9.375602602958679199e-01,4.537380000000000635e+00,9.801902174949645996e-01,5.711768269538879395e-01
2.735057067339210235e+01,2.078058434937024135e+00,1.635309692382812500e+03,1.012937545776367188e+00,4.537390000000000256e+00,1.081737875938415527e+00,6.966045498847961426e-01
2.735403403694401803e+01,2.095960129360306290e+00,1.288992431640625000e+03,1.287905693054199219e+00,4.537400000000000766e+00,9.715689420700073242e-01,5.840705037117004395e-01
2.734471410082632659e+01,2.112375506675157055e+00,1.536657958984375000e+03,1.370341300964355469e+00,4.537410000000000387e+00,9.564626812934875488e-01,6.058906912803649902e-01
2.734752165659346090e+01,2.128689300790410410e+00,1.509796020507812500e+03,1.368996620178222656e+00,4.537420000000000009e+00,1.046795010566711426e+00,6.599069833755493164e-01
2.734791372300221113e+01,2.148857285868915667e+00,1.773737426757812500e+03,1.191539287567138672e+00,4.537430000000000518e+00,1.096920371055603027e+00,7.206372022628784180e-01
2.734716168277850556e+01,2.172372639707264685e+00,1.544551635742187500e+03,1.482640027999877930e+00,4.537440000000000140e+00,1.076244592666625977e+00,6.827189922332763672e-01
2.734388136967094951e+01,2.188934260762731121e+00,1.659562744140625000e+03,1.583303928375244141e+00,4.537450000000000649e+00,1.186642408370971680e+00,7.670240998268127441e-01
2.734740871358164682e+01,2.213401575984229375e+00,1.381307373046875000e+03,1.660284519195556641e+00,4.537460000000000271e+00,1.090664267539978027e+00,6.700541377067565918e-01
2.734037553900852302e+01,2.228363468215802001e+00,2.099632324218750000e+03,1.541091918945312500e+00,4.537470000000000780e+00,1.273083806037902832e+00,8.675799369812011719e-01
2.733735710749635928e+01,2.242714504660114461e+00,1.384719604492187500e+03,1.794148206710815430e+00,4.537480000000000402e+00,1.032146573066711426e+00,6.345773339271545410e-01
2.733750567355386352e+01,2.270323889755804458e+00,1.343769042968750000e+03,1.779038429260253906e+00,4.537490000000000023e+00,1.042827725410461426e+00,6.352639794349670410e-01
2.734201341882220149e+01,2.289872317000474222e+00,1.343998413085937500e+03,1.412531852722167969e+00,4.537500000000000533e+00,1.073955774307250977e+00,6.542612314224243164e-01
2.733191339387137830e+01,2.301454438443618411e+00,1.105874145507812500e+03,1.660698175430297852e+00,4.537510000000000154e+00,9.965934753417968750e-01,5.677435398101806641e-01
2.733933297375881821e+01,2.325740884049127377e+00,1.547668945312500000e+03,1.311954975128173828e+00,4.537520000000000664e+00,1.021083950996398926e+00,6.480813622474670410e-01
2.733049853138865970e+01,2.339802390266311871e+00,1.570263671875000000e+03,1.187206029891967773e+00,4.537530000000000285e+00,1.171459794044494629e+00,7.464246749877929688e-01
2.734090164546969604e+01,2.356790649037781460e+00,2.371188476562500000e+03,1.454308748245239258e+00,4.537540000000000795e+00,1.079983115196228027e+00,7.529859542846679688e-01
2.733100052622079801e+01,2.374682405605642810e+00,1.359802001953125000e+03,1.709594249725341797e+00,4.537550000000000416e+00,1.104015707969665527e+00,6.750132441520690918e-01
2.734586444021934781e+01,2.389002866847094619e+00,1.409684692382812500e+03,1.618645906448364258e+00,4.537560000000000038e+00,9.923210144042968750e-01,6.133674979209899902e-01
2.733719492652879524e+01,2.396456514659974779e+00,1.594252197265625000e+03,1.480924606323242188e+00,4.537570000000000547e+00,1.011852264404296875e+00,6.473184227943420410e-01
2.733253821318943011e+01,2.411127201218590255e+00,1.546723022460937500e+03,1.398465156555175781e+00,4.537580000000000169e+00,1.019329190254211426e+00,6.468606591224670410e-01
2.733945608963352569e+01,2.434623912719842131e+00,1.452349243164062500e+03,1.300700426101684570e+00,4.537590000000000678e+00,9.960594177246093750e-01,6.210732460021972656e-01
2.733767966706869146e+01,2.447929197615335450e+00,1.675839721679687500e+03,1.670690298080444336e+00,4.537600000000000300e+00,1.130871295928955078e+00,7.327679991722106934e-01
2.733281258962660587e+01,2.468226705449006353e+00,1.745359985351562500e+03,1.661815166473388672e+00,4.537610000000000809e+00,1.070827722549438477e+00,7.008007168769836426e-01
2.733777481519934938e+01,2.482387398751976448e+00,1.958230468750000000e+03,1.604699611663818359e+00,4.537620000000000431e+00,1.050762414932250977e+00,7.058361172676086426e-01
2.734049887734470374e+01,2.495356401533383117e+00,1.353130615234375000e+03,1.505871534347534180e+00,4.537630000000000052e+00,9.572256207466125488e-01,5.843756794929504395e-01
2.733036408051994925e+01,2.512451774805714244e+00,1.083000122070312500e+03,1.522700309753417969e+00,4.537640000000000562e+00,9.447896480560302734e-01,5.339452028274536133e-01
2.734337497789629623e+01,2.529332771950580927e+00,1.392753173828125000e+03,1.235488176345825195e+00,4.537650000000000183e+00,7.895309329032897949e-01,4.862613081932067871e-01
2.734124205728621604e+01,2.552011406506651259e+00,1.616419799804687500e+03,1.192383289337158203e+00,4.537660000000000693e+00,8.815417289733886719e-01,5.659887790679931641e-01
2.734232785616681838e+01,2.572265311005417221e+00,1.861388305664062500e+03,9.643227458000183105e-01,4.537670000000000314e+00,1.158413529396057129e+00,7.695418000221252441e-01
2.733286700983939710e+01,2.586912821037430366e+00,1.298463989257812500e+03,1.475734233856201172e+00,4.537679999999999936e+00,1.037639737129211426e+00,6.252694129943847656e-01
2.734297707090067320e+01,2.607618310319518073e+00,1.406213745117187500e+03,1.677380323410034180e+00,4.537690000000000445e+00,1.362500667572021484e+00,8.415635824203491211e-01
2.733578725213508065e+01,2.625984523511719182e+00,1.712469726562500000e+03,1.442158937454223633e+00,4.537700000000000067e+00,1.138195514678955078e+00,7.414655089378356934e-01
2.734578430171281482e+01,2.645121853709725634e+00,1.740098876953125000e+03,2.053142309188842773e+00,4.537710000000000576e+00,8.665117621421813965e-01,5.666754245758056641e-01
2.733612339043088113e+01,2.662290337890595993e+00,1.410980712890625000e+03,1.789780378341674805e+00,4.537720000000000198e+00,1.011547088623046875e+00,6.254220008850097656e-01
2.734560936582477808e+01,2.676252243053529156e+00,1.628182373046875000e+03,1.283332824707031250e+00,4.537730000000000707e+00,1.070141077041625977e+00,6.883647441864013672e-01
2.733600994171384357e+01,2.698704783586172606e+00,1.755249633789062500e+03,1.422281980514526367e+00,4.537740000000000329e+00,9.682120084762573242e-01,6.345010399818420410e-01
2.734303535042270994e+01,2.725670572833518879e+00,1.269326049804687500e+03,1.344731569290161133e+00,4.537749999999999950e+00,9.128223657608032227e-01,5.459997057914733887e-01
