# x_coordinates, y_coordinates, TEP, TED, times, high, low
2.885533578813315359e+01,1.812548806026768133e+01,-3.115258300781250000e+03,1.260787397623062134e-01,5.481690000000000396e+00,3.147137165069580078e-02,2.994548715651035309e-02
2.885830343238262330e+01,1.811527029402022038e+01,1.180173583984375000e+03,1.243954971432685852e-01,5.481700000000000017e+00,1.730734705924987793e-01,1.009754240512847900e-01
2.885278889128434443e+01,1.811436659003521399e+01,1.709452758789062500e+03,1.551395803689956665e-01,5.481710000000000527e+00,2.058037072420120239e-01,1.340108215808868408e-01
2.885410906407315679e+01,1.811047649431036888e+01,1.653432006835937500e+03,1.917952448129653931e-01,5.481720000000000148e+00,2.136620134115219116e-01,1.379781216382980347e-01
2.886137872877434063e+01,1.810949456542399716e+01,1.545550048828125000e+03,2.297216802835464478e-01,5.481730000000000658e+00,2.957546114921569824e-01,1.876456737518310547e-01
2.885896787716549738e+01,1.810593649187359944e+01,1.381728027343750000e+03,3.143292963504791260e-01,5.481740000000000279e+00,3.525938093662261963e-01,2.166374772787094116e-01
2.885777609489113615e+01,1.812235974926620230e+01,1.945489624023437500e+03,4.686707556247711182e-01,5.481750000000000789e+00,3.478635847568511963e-01,2.333459258079528809e-01
2.885996479435942774e+01,1.812888957977534332e+01,1.165674438476562500e+03,5.581933856010437012e-01,5.481760000000000410e+00,4.017272889614105225e-01,2.333459258079528809e-01
2.885612571701236462e+01,1.813137792800019454e+01,1.011763793945312500e+03,6.062991023063659668e-01,5.481770000000000032e+00,3.446592092514038086e-01,1.895530372858047485e-01
2.886110189167129647e+01,1.814025376400448053e+01,1.412462890625000000e+03,5.670112967491149902e-01,5.481780000000000541e+00,3.427518606185913086e-01,2.119835317134857178e-01
2.886509805238123150e+01,1.815693375233207973e+01,1.608653442382812500e+03,4.757780134677886963e-01,5.481790000000000163e+00,3.255856633186340332e-01,2.087791711091995239e-01
2.886021011935631364e+01,1.816821249600974042e+01,1.898978759765625000e+03,5.150145888328552246e-01,5.481800000000000672e+00,2.735529839992523193e-01,1.825339645147323608e-01
2.885819085192797928e+01,1.818025999541859505e+01,-2.637106445312500000e+04,5.025846362113952637e-01,5.481810000000000294e+00,1.852805465459823608e-01,1.565939188003540039e-01
2.886736530877750440e+01,1.819509363707638272e+01,1.149874267578125000e+03,4.072958528995513916e-01,5.481820000000000803e+00,2.281579077243804932e-01,1.318745911121368408e-01
2.886934811270503332e+01,1.821864969467198136e+01,1.006217102050781250e+03,3.110879957675933838e-01,5.481830000000000425e+00,2.963649630546569824e-01,1.626211702823638916e-01
2.886554037998177336e+01,1.823508330814711087e+01,1.592717163085937500e+03,2.697652876377105713e-01,5.481840000000000046e+00,3.046047389507293701e-01,1.948173344135284424e-01
2.886081377407372983e+01,1.825648284726170800e+01,1.338062500000000000e+03,5.089921355247497559e-01,5.481850000000000556e+00,2.863704264163970947e-01,1.742178946733474731e-01
2.886897907075402259e+01,1.827276861637144023e+01,1.113136596679687500e+03,4.470962584018707275e-01,5.481860000000000177e+00,2.111442983150482178e-01,1.205830425024032593e-01
2.885974175626696336e+01,1.829071273840253298e+01,1.107915405273437500e+03,3.227430880069732666e-01,5.481870000000000687e+00,3.034603297710418701e-01,1.729971766471862793e-01
2.886206983943948856e+01,1.831633061978973842e+01,1.467233032226562500e+03,2.641719877719879150e-01,5.481880000000000308e+00,2.810298204421997070e-01,1.757437735795974731e-01
2.886501625501099255e+01,1.833206616356601870e+01,1.505159667968750000e+03,4.610234797000885010e-01,5.481890000000000818e+00,2.007682770490646362e-01,1.264576911926269531e-01
2.887218319700401281e+01,1.835593053272831554e+01,1.312138916015625000e+03,3.273088037967681885e-01,5.481900000000000439e+00,3.834166824817657471e-01,2.318200320005416870e-01
2.886150791029624330e+01,1.837078336576888304e+01,1.896293823242187500e+03,2.719587385654449463e-01,5.481910000000000061e+00,2.889644205570220947e-01,1.927573829889297485e-01
2.885790217616982645e+01,1.839354477609662553e+01,1.660958251953125000e+03,5.293208956718444824e-01,5.481920000000000570e+00,3.906646370887756348e-01,2.525720596313476562e-01
2.886289272671048067e+01,1.841370580126540446e+01,9.648619384765625000e+02,4.333168566226959229e-01,5.481930000000000192e+00,3.465665578842163086e-01,1.868064403533935547e-01
2.885574292863653412e+01,1.843210859465642670e+01,1.680148193359375000e+03,6.819421648979187012e-01,5.481940000000000701e+00,3.219998180866241455e-01,2.087791711091995239e-01
2.885751676425686441e+01,1.845249392659906462e+01,1.095267578125000000e+03,4.832190573215484619e-01,5.481950000000000323e+00,3.230679333209991455e-01,1.833731979131698608e-01
2.886423304221431962e+01,1.846061919041247279e+01,2.499313720703125000e+03,5.732387900352478027e-01,5.481960000000000832e+00,3.332913815975189209e-01,2.344903349876403809e-01
2.885995428068817148e+01,1.848085666630058199e+01,1.591531982421875000e+03,4.419905245304107666e-01,5.481970000000000454e+00,3.461850881576538086e-01,2.213677316904067993e-01
2.885631538931643192e+01,1.850319948075959431e+01,1.997696166992187500e+03,6.085307002067565918e-01,5.481980000000000075e+00,3.840270340442657471e-01,2.590570747852325439e-01
2.887140370204287976e+01,1.851921514492547516e+01,1.713068969726562500e+03,6.273979544639587402e-01,5.481990000000000585e+00,3.763213157653808594e-01,2.451715320348739624e-01
2.885976163075098455e+01,1.853457523927007955e+01,1.510901123046875000e+03,6.686515212059020996e-01,5.482000000000000206e+00,4.057708978652954102e-01,2.558527290821075439e-01
2.885507813609844874e+01,1.855306823597644694e+01,2.432731445312500000e+03,6.373662352561950684e-01,5.482010000000000716e+00,3.017055690288543701e-01,2.112968862056732178e-01
2.885944291614744373e+01,1.857232798579211064e+01,9.075812377929687500e+02,6.506533026695251465e-01,5.482020000000000337e+00,2.627955079078674316e-01,1.378255337476730347e-01
2.886551552768606399e+01,1.859300434423440507e+01,1.869297729492187500e+03,3.748077452182769775e-01,5.482030000000000847e+00,4.048553705215454102e-01,2.692041993141174316e-01
2.885057087694177014e+01,1.860117470914499194e+01,2.320268798828125000e+03,3.831082880496978760e-01,5.482040000000000468e+00,3.071987330913543701e-01,2.133568376302719116e-01
2.885818757526275036e+01,1.861515328799533364e+01,1.990354125976562500e+03,6.899041533470153809e-01,5.482050000000000090e+00,4.489534199237823486e-01,3.026210963726043701e-01
2.886114037063287796e+01,1.863444241230904197e+01,2.132272216796875000e+03,6.055373549461364746e-01,5.482060000000000599e+00,2.415857017040252686e-01,1.651388704776763916e-01
2.886615345799076948e+01,1.865910678032005521e+01,1.670609619140625000e+03,6.003159880638122559e-01,5.482070000000000221e+00,3.012478053569793701e-01,1.950462162494659424e-01
2.886001069542189157e+01,1.867287011067157820e+01,1.489636108398437500e+03,4.062885344028472900e-01,5.482080000000000730e+00,2.301415652036666870e-01,1.445394307374954224e-01
2.887070903800493582e+01,1.869532349586492614e+01,1.097971801757812500e+03,4.215830862522125244e-01,5.482090000000000352e+00,2.365502864122390747e-01,1.343922913074493408e-01
2.886307983203855798e+01,1.871605190638240046e+01,9.190195922851562500e+02,2.846604883670806885e-01,5.482100000000000861e+00,3.227627575397491455e-01,1.702505946159362793e-01
2.885762588132536521e+01,1.873364142403842436e+01,1.866921386718750000e+03,3.297967016696929932e-01,5.482110000000000483e+00,4.046264886856079102e-01,2.689753174781799316e-01
2.886182757408564825e+01,1.875063207771300000e+01,1.013855224609375000e+03,4.576450884342193604e-01,5.482120000000000104e+00,2.718745172023773193e-01,1.496511399745941162e-01
2.885715011982958700e+01,1.876803019226569091e+01,1.948473022460937500e+03,6.702978014945983887e-01,5.482130000000000614e+00,1.899345070123672485e-01,1.274495273828506470e-01
