# x_coordinates, y_coordinates, TEP, TED, times, high, low
3.008073206963097945e+01,-9.799689863869875950e+00,1.238160766601562500e+03,1.537078768014907837e-01,2.912720000000000198e+00,5.519506335258483887e-01,3.274167180061340332e-01
3.009116286029796683e+01,-9.806650878293892148e+00,1.978317138671875000e+03,6.390017867088317871e-01,2.912730000000000263e+00,6.055855154991149902e-01,4.076782464981079102e-01
3.008575442528221444e+01,-9.810241055763480489e+00,1.436009399414062500e+03,8.887786269187927246e-01,2.912740000000000329e+00,6.504465341567993164e-01,4.042450189590454102e-01
3.009150624498781212e+01,-9.822746842868783190e+00,1.847951782226562500e+03,7.014603018760681152e-01,2.912750000000000394e+00,6.605936288833618164e-01,4.381196498870849609e-01
3.008495814348582087e+01,-9.820500939453838285e+00,1.308059570312500000e+03,8.344716429710388184e-01,2.912760000000000460e+00,6.346536278724670410e-01,3.833403885364532471e-01
3.008929456418682591e+01,-9.823830754729611314e+00,1.782599853515625000e+03,7.691890597343444824e-01,2.912770000000000081e+00,8.755908012390136719e-01,5.759070515632629395e-01
3.008659862660790552e+01,-9.825927062576651494e+00,1.363831665039062500e+03,9.238583445549011230e-01,2.912780000000000147e+00,7.353619933128356934e-01,4.500215649604797363e-01
3.007500252735296797e+01,-9.829299100429807368e+00,1.699242553710937500e+03,1.020682573318481445e+00,2.912790000000000212e+00,9.398305416107177734e-01,6.110786795616149902e-01
3.008786548447825027e+01,-9.824913302484491240e+00,2.473960937500000000e+03,1.081889390945434570e+00,2.912800000000000278e+00,7.928115725517272949e-01,5.568335056304931641e-01
3.007946223196648106e+01,-9.824467920479960981e+00,1.258687255859375000e+03,1.300421476364135742e+00,2.912810000000000343e+00,7.324628233909606934e-01,4.368989467620849609e-01
3.008011919813685608e+01,-9.812053518749229042e+00,2.030881469726562500e+03,1.258366823196411133e+00,2.912820000000000409e+00,7.546644210815429688e-01,5.108280777931213379e-01
3.007280597322676385e+01,-9.805738419603542866e+00,1.528785278320312500e+03,1.051359891891479492e+00,2.912830000000000030e+00,8.345444798469543457e-01,5.279179811477661133e-01
3.008516091603572207e+01,-9.799370055598400242e+00,1.678669311523437500e+03,1.067659378051757812e+00,2.912840000000000096e+00,6.645609736442565918e-01,4.307954013347625732e-01
3.007746539829444998e+01,-9.788619489041071375e+00,1.728908813476562500e+03,1.159878492355346680e+00,2.912850000000000161e+00,7.595472931861877441e-01,4.959506690502166748e-01
3.007796369871932640e+01,-9.777415978460174628e+00,1.904588012695312500e+03,9.573716521263122559e-01,2.912860000000000227e+00,7.230023145675659180e-01,4.827517867088317871e-01
3.006451998073649179e+01,-9.770134045886928575e+00,1.560578369140625000e+03,1.100297689437866211e+00,2.912870000000000292e+00,5.723975300788879395e-01,3.641142547130584717e-01
3.008526750350376844e+01,-9.755715114503006546e+00,1.226756103515625000e+03,1.053540229797363281e+00,2.912880000000000358e+00,5.707190632820129395e-01,3.374875485897064209e-01
3.006499468033386080e+01,-9.740898286521217031e+00,1.394834594726562500e+03,7.743257880210876465e-01,2.912890000000000423e+00,7.354382872581481934e-01,4.531496167182922363e-01
3.008611190615588171e+01,-9.736685638317403857e+00,1.487368896484375000e+03,8.197337985038757324e-01,2.912900000000000045e+00,5.993293523788452148e-01,3.762450218200683594e-01
3.007115703328573275e+01,-9.717576287934278412e+00,1.348990112304687500e+03,1.026170969009399414e+00,2.912910000000000110e+00,5.943702459335327148e-01,3.625120520591735840e-01
3.008600920122400524e+01,-9.701863127179207069e+00,1.297611328125000000e+03,7.331592440605163574e-01,2.912920000000000176e+00,5.519506335258483887e-01,3.325284421443939209e-01
3.007419299394847911e+01,-9.685477418393487525e+00,1.297308349609375000e+03,7.220954298973083496e-01,2.912930000000000241e+00,5.875800848007202148e-01,3.539671003818511963e-01
3.008634742667547002e+01,-9.676270656546503091e+00,1.377767089843750000e+03,5.980796217918395996e-01,2.912940000000000307e+00,7.565717697143554688e-01,4.644411504268646240e-01
3.007874797367070130e+01,-9.657710180259410748e+00,1.472390747070312500e+03,8.583194613456726074e-01,2.912950000000000372e+00,6.460214257240295410e-01,4.043976068496704102e-01
3.007759249545771496e+01,-9.646309336163255921e+00,1.226379638671875000e+03,9.558004736900329590e-01,2.912960000000000438e+00,7.712965607643127441e-01,4.560487866401672363e-01
3.007839203954901208e+01,-9.636955089920892448e+00,1.743316894531250000e+03,9.406322836875915527e-01,2.912970000000000059e+00,7.555799484252929688e-01,4.943484961986541748e-01
3.008993672725454616e+01,-9.631326648033182281e+00,1.416171264648437500e+03,9.382182955741882324e-01,2.912980000000000125e+00,7.091930508613586426e-01,4.389588832855224609e-01
3.008352470323359995e+01,-9.619843400193907712e+00,1.326106445312500000e+03,1.045096635818481445e+00,2.912990000000000190e+00,7.684736847877502441e-01,4.661959409713745117e-01
3.009017846070034707e+01,-9.612960211836444557e+00,1.411122314453125000e+03,1.004331827163696289e+00,2.913000000000000256e+00,8.321030735969543457e-01,5.144901871681213379e-01
3.009537134230079403e+01,-9.601305270184605334e+00,1.850664184570312500e+03,9.137040972709655762e-01,2.913010000000000321e+00,8.160812854766845703e-01,5.414220690727233887e-01
3.008852378799646843e+01,-9.592321928575888279e+00,1.252737792968750000e+03,1.242204427719116211e+00,2.913020000000000387e+00,7.181195020675659180e-01,4.276673495769500732e-01
3.009879294468195710e+01,-9.579667648662056223e+00,1.395656982421875000e+03,1.218629598617553711e+00,2.913030000000000452e+00,6.583048105239868164e-01,4.056946039199829102e-01
